                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.93282,                0.89376,                 1.2265,                0.31557,                0.32751,                0.26626,                0.13717,                 1.6922,                 1.8672,                 1.7763,              0.0001431,              0.0001431,              0.0001431
                     90,                0.94051,                0.89746,                 1.2276,                0.32426,                0.32273,                0.26964,                0.13819,                 1.6837,                 1.8712,                 1.7689,              0.0001321,              0.0001321,              0.0001321
                     91,                0.91743,                0.82965,                 1.2182,                0.30193,                0.34111,                0.26674,                0.13508,                 1.6698,                 1.8557,                 1.7708,              0.0001211,              0.0001211,              0.0001211
                     92,                 0.8688,                0.75746,                 1.1817,                0.41106,                0.28586,                0.26059,                  0.136,                 1.6782,                 1.8822,                 1.7804,              0.0001101,              0.0001101,              0.0001101
                     93,                0.88074,                0.76092,                 1.1932,                0.34846,                0.28642,                0.26236,                0.13592,                 1.6938,                 1.9505,                 1.7958,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.88354,                0.76831,                  1.194,                0.33068,                0.30515,                0.26263,                0.13544,                 1.6727,                 1.9076,                 1.7882,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.86506,                0.73771,                 1.1822,                0.30286,                0.34421,                0.26831,                0.13879,                 1.6783,                 1.8955,                 1.7936,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.86633,                0.73195,                 1.1809,                0.34019,                0.28968,                0.26392,                0.13791,                 1.6825,                 1.9122,                 1.7968,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                 0.8535,                0.71532,                 1.1739,                 0.2928,                0.35352,                0.25987,                0.13567,                 1.6804,                  1.935,                 1.7888,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.83902,                0.71081,                 1.1619,                0.29176,                0.35731,                0.26069,                0.13582,                  1.674,                 1.9112,                 1.7896,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.83234,                0.69148,                 1.1532,                0.28393,                0.33231,                 0.2587,                0.13477,                 1.6792,                 1.9289,                 1.7964,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.82842,                0.69945,                 1.1556,                0.31454,                0.30957,                0.25565,                0.13435,                 1.6752,                 1.9316,                 1.7895,             2.2109e-05,             2.2109e-05,             2.2109e-05
